curso,campus,forma
Técnico em Eletrotécnica,Teresina Central,Técnico Subsequente/Concomitante
Técnico em Informática,Teresina Central,Técnico Integrado
Técnico em Instrumento Musical,Teresina Central,Técnico Subsequente/Concomitante
Técnico em Logística,Teresina Central,Técnico Integrado
Técnico em Mecânica,Teresina Central,Técnico Subsequente/Concomitante
Técnico em Mecânica,Teresina Central,Técnico Integrado
Técnico em Meio Ambiente,Teresina Central,Técnico Integrado
Técnico em Refrigeração e Climatização,Teresina Central,Técnico Subsequente/Concomitante
Técnico em Segurança do Trabalho,Teresina Central,Técnico Subsequente/Concomitante
Técnico em Segurança do Trabalho,Teresina Central,Técnico Integrado
Técnico em Serviços Jurídicos,Teresina Central,Técnico Subsequente
Técnico em Sistemas de Energia Renovável,Teresina Central,Técnico Subsequente/Concomitante
Tecnico em Cozinha,Teresina Zona Sul,Técnico Integrado EJA
Técnico em Edificações,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Edificações,Teresina Zona Sul,Técnico Integrado
Técnico em Estradas,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Estradas-,Teresina Zona Sul,Técnico Integrado
Técnico em Gastronomia,Teresina Zona Sul,Técnico Integrado EJA
Técnico em Gastronomia,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Informática,Teresina Zona Sul,Técnico Integrado
Técnico em Nutrição e Dietética,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Panificação,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Química,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Saneamento,Teresina Zona Sul,Técnico Integrado
Técnico em Vestuário,Teresina Zona Sul,Técnico Integrado
Técnico em Vestuário,Teresina Zona Sul,Técnico Subsequente/Concomitante
Técnico em Administração,Uruçuí,Técnico Integrado
Técnico em Agroindústria,Uruçuí,Técnico Integrado
Técnico em Agroindústria,Uruçuí,Técnico Subsequente/Concomitante
Técnico em Agronegócio,Uruçuí,Técnico Subsequente/Concomitante
Técnico em Agropecuária,Uruçprojeto2.rayssaalves4.repl.couí,Técnico Integrado
Técnico em Agropecuária,Uruçuí,Técnico Subsequente/Concomitante
Técnico em Administração,Valença,Técnico Subsequente/Concomitante
Técnico em Administração,Valença,Técnico Integrado
Técnico em Agropecuária,Valença,Técnico Integrado
Técnico em Agropecuária,Valença,Técnico Subsequente/Concomitante
Técnico em Comércio,Valença,Técnico Integrado
Técnico em Meio Ambiente,Valença,Técnico Integrado
